;artista;musica;letra;selecionado
10;Roberto Carlos;Todas As Nossas Senhoras;"Quando eu me sinto aflito, Nossa Senhora da paz
Me dá sua mão, me acalma, tranqüilidade me traz
Se uma lágrima me rola e o pranto eu não contenha
Choro nas escadarias de Nossa Senhora da penha
Nossa Senhora de Fátima peço que a alegria venha

Se o perigo me preocupa eu tenho fé não me alarmo
Tenho meu escapulário, Nossa Senhora do carmo
Senhora dos navegantes, da boa viagem me guia
Pelos ares, terra e mares, me ampara, me auxilia
Me livra das tempestades, Nossa Senhora da guia

Minha mãe, Nossa Senhora, somos todos filhos seus
Todas as nossas senhoras são a mesma mãe de Deus

Sou romeiro e no seu dia, na multidão mãe querida
Me ajoelho e rezo, Nossa Senhora aparecida
Nossa Senhora da glória, de lourdes, de nazaré
Virgem santa da saúde, da boa nova e da fé
Minha mãe tanta bondade hoje eu sei bem o que é

Nossa Senhora das graças, da confiança e da luz
Senhora da lampadosa, rogai por nós a Jesus
Virgem esposa imaculada do espírito santo adorável
Mãe rainha e vencedora, três vezes admirável
Nossa Senhora do brasil, do seu corpo inseparável

Senhora da rosa mística, das dores, da conceição
De guadalupe, medjugore e do nosso coração

Minha mãe, Nossa Senhora, somos todos filhos seus
Todas as Nossas Senhoras são a mesma mãe de Deus";1
11;Roberto Carlos;Esse Cara Sou Eu;"O cara que pensa em você toda hora
Que conta os segundos se você demora
Que está todo o tempo querendo te ver
Porque já não sabe ficar sem você

E no meio da noite te chama
Pra dizer que te ama
Esse cara sou eu

O cara que pega você pelo braço
Esbarra em quem for que interrompa seus passos
Está do seu lado pro que der e vier
O herói esperado por toda mulher

Por você ele encara o perigo
Seu melhor amigo
Esse cara sou eu

O cara que ama você do seu jeito
Que depois do amor você se deita em seu peito
Te acaricia os cabelos, te fala de amor
Te fala outras coisas, te causa calor

De manhã você acorda feliz
Num sorriso que diz
Esse cara sou eu
Esse cara sou eu

Eu sou o cara certo pra você
Que te faz feliz e que te adora
Que enxuga seu pranto quando você chora
Esse cara sou eu
Esse cara sou eu

O cara que sempre te espera sorrindo
Que abre a porta do carro quando você vem vindo
Te beija na boca, te abraça feliz
Apaixonado te olha e te diz
Que sentiu sua falta e reclama
Ele te ama
Esse cara sou eu

Esse cara sou eu
Esse cara sou eu
Esse cara sou eu
Esse cara sou eu";1
12;Roberto Carlos;Jesus Cristo;"Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui

Olho pro céu e vejo
Uma nuvem branca que vai passando
Olho na terra e vejo
Uma multidão que vai caminhando
Como essa nuvem branca
Essa gente não sabe aonde vai
Quem poderá dizer o caminho certo
É Você meu Pai

Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui

Toda essa multidão
Tem no peito amor e procura a paz
E apesar de tudo
A esperança não se desfaz
Olhando a flor que nasce
No chão daquele que tem amor
Olho pro céu e sinto
Crescer a fé no meu Salvador

Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui

Em cada esquina eu vejo
O olhar perdido de um irmão
Em busca do mesmo bem
Nessa direção caminhando vem
É meu desejo ver
Aumentando sempre essa procissão
Para que todos cantem
Na mesma voz essa oração

Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui

Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui

Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui
Jesus Cristo, Jesus Cristo
Jesus Cristo, eu estou aqui";1
13;Roberto Carlos;Além do Horizonte;"Além do horizonte deve ter
Algum lugar bonito pra viver em paz
Onde eu possa encontrar a natureza
Alegria e felicidade com certeza.

Lá nesse lugar o amanhecer é lindo
Com flores festejando mais um dia
Que vem vindo
Onde a gente pode se deitar no campo
Se amar na relva escutando
O canto dos pássaros
Aproveitar a tarde sem pensar na vida
Andar despreocupado sem saber
A hora de voltar
Bronzear o corpo todo sem censura
Gozar a liberdade de uma vida sem frescura.

Se você não vem comigo tudo isso vai ficar
No horizonte esperando por nós dois
Se você não vem comigo nada disso tem valor
De que vale o paraíso sem amor

Além do horizonte existe um lugar
Bonito e tranquilo pra gente se amar.

Lalalalalalarala, lalalalalalarala...

Se você não vem comigo tudo isso vai ficar
No horizonte esperando por nós dois
Se você não vem comigo nada disso tem valor
De que vale o paraíso sem amor

Além do horizonte existe um lugar
Bonito e tranqüilo pra gente se amar.

Lalalalalalarala, lalalalalalarala...";1
14;Roberto Carlos;Do Fundo do Meu Coração;"Eu, cada vez que vi você chegar,
Me fazer sorrir e me deixar,
Decidido eu disse: nunca mais.
Mas, novamente, estúpido, provei
Desse doce amargo quando eu sei
Cada volta sua o que me faz.

Vi todo o meu orgulho em sua mão,
Deslizar, se espatifar no chão.
Vi o meu amor tratado assim.
Mas basta agora o que você me fez.
Acabe com essa droga de uma vez,
Não volte nunca mais para mim.

Mais uma vez aqui,
Olhando as cicatrizes desse amor.
Eu vou ficar aqui,
E sei que vou chorar a mesma dor.
Agora eu tenho que saber
O que é viver sem você.

Eu, toda vez que vi você voltar,
Eu pensei que fosse pra ficar,
E mais uma vez falei que sim.
Mas, já depois de tanta solidão,
Do fundo do meu coração,
Não volte nunca mais pra mim.

Mais uma vez aqui,
Olhando as cicatrizes desse amor.
Eu vou ficar aqui,
Eu sei que vou chorar a mesma dor.

Se você me perguntar se ainda é seu
Todo meu amor, eu sei que eu
Certamente vou dizer que sim.
Mas, já depois de tanta solidão,
Do fundo do meu coração,
Não volte nunca mais para mim.
Do fundo do meu coração,
Não volte nunca mais para mim.";1
15;Roberto Carlos;Amor Perfeito;"Fecho os olhos pra não ver passar o tempo
Sinto falta de você
Anjo bom, amor perfeito no meu peito
Sem você não sei viver
Vem, que eu conto os dias
Conto as horas pra te ver
Eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você

Os segundos vão passando lentamente
Não tem hora pra chegar
Até quando te querendo, te amando
Coração quer te encontrar

Vem, que nos seus braços
Esse amor é uma canção
E eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você

Eu não vou saber me acostumar
Sem sua mão pra me acalmar
Sem seu olhar pra me entender
Sem seu carinho, amor, sem você

Vem me tirar da solidão
Fazer feliz meu coração
Já não importa quem errou
O que passou, passou, então vem, vem, vem, vem

Eu não vou saber me acostumar
Sem sua mão pra me acalmar
Sem seu olhar pra me entender
Sem seu carinho,amor, sem você

Vem me tirar da solidão
Fazer feliz meu coração
Já não importa quem errou
O que passou, passou, então

Vem, que eu conto os dias
Conto as horas pra te ver
Eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você

Vem, que nos seus braços
Esse amor é uma canção
E eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você

Vem, vem, vem, vem,
Vem, vem, vem";1
16;Roberto Carlos;Meu Querido Meu Velho Meu Amigo;"Esses seus cabelos brancos, bonitos
Esse olhar cansado, profundo
Me dizendo coisas, num grito
Me ensinando tanto, do mundo...
E esses passos lentos, de agora
Caminhando sempre comigo
Já correram tanto na vida
Meu querido, meu velho, meu amigo

Sua vida cheia de histórias
E essas rugas marcadas pelo tempo
Lembranças de antigas vitórias 
Ou lágrimas choradas ao vento
Sua voz macia me acalma 
E me diz muito mais do que eu digo
Me calando fundo na alma
Meu querido, meu velho, meu amigo

Seu passado vive presente
Nas experiências contidas
Nesse coração consciente
Da beleza das coisas da vida
Seu sorriso franco me anima 
Seu conselho certo me ensina
Beijo suas mãos e lhe digo
Meu querido, meu velho, meu amigo

Eu já lhe falei de tudo,
Mas tudo isso é pouco
Diante do que sinto...
Olhando seus cabelos tão bonitos,
Beijo suas mãos e digo
Meu querido, meu velho, meu amigo";1
17;Roberto Carlos;Como Vai Você ?;"Como Vai Você
Roberto Carlos
Composição: Antônio Marcos / Mario Marcos

Como vai você ?
Eu preciso saber da sua vida
Peça a alguém pra me contar sobre o seu dia
Anoiteceu e eu preciso só saber
Como vai você ?
Que já modificou a minha vida
Razão de minha paz já esquecida
Nem sei se gosto mais de mim ou de você

Vem, que a sede de te amar me faz melhor
Eu quero amanhecer ao seu redor
Preciso tanto me fazer feliz

Vem, que o tempo pode afastar nós dois
Não deixe tanta vida pra depois
Eu só preciso saber
Como vai você?

Como vai você ?
Que já modificou a minha vida
Razão da minha paz já esquecida
Nem sei se gosto mais de mim ou de você

Vem, que a sede de te amar me faz melhor
Eu quero amanhecer ao seu redor
Preciso tanto me fazer feliz

Vem, que o tempo pode afastar nós dois
Não deixe tanta vida pra depois
Eu só preciso saber
Como vai você";1
18;Roberto Carlos;Cavalgada;"Vou cavalgar por toda a noite
Por uma estrada colorida
Usar meus beijos como açoite
E a minha mão mais atrevida

Vou me agarrar aos seus cabelos
Pra não cair do seu galope
Vou atender aos meus apelos
Antes que o dia nos sufoque

Vou me perder de madrugada
Pra te encontrar no meu abraço
Depois de toda cavalgada
Vou me deitar no seu cansaço

Sem me importar se nesse instante
Sou dominado ou se domino
Vou me sentir como um gigante
Ou nada mais do que um menino

Estrelas mudam de lugar
Chegam mais perto só pra ver
E ainda brilham de manhã
Depois do nosso adormecer

E na grandeza desse instante
O amor cavalga sem saber
Que na beleza dessa hora
O sol espera pra nascer

Estrelas mudam de lugar
Chegam mais perto só pra ver
E ainda brilham na manhã
Depois do nosso adormecer

© Amigos / ECRA";1
19;Roberto Carlos;O Progresso;"Eu queria poder afagar uma fera terrível
Eu queria poder transformar tanta coisa impossível
Eu queria dizer tanta coisa que pudesse fazer eu ficar bem comigo
Eu queria poder abraçar meu maior inimigo. 

Eu queria não ver tantas nuvens escuras nos ares
Navegar sem achar tantas manchas de óleo nos mares
E as baleias desaparecendo por falta de escrúpulos comerciais
Eu queria ser civilizado como os animais. 

Eu queria não ver todo o verde da Terra morrendo
E das águas dos rios os peixes desaparecendo
Eu queria gritar que esse tal de ouro negro não passa de um negro veneno
E sabemos que por tudo isso vivemos bem menos. 

Eu não posso aceitar certas coisas que eu não entendo
O comércio das armas de guerra, da morte vivendo
Eu queira falar de alegria ao invés de tristeza mas não sou capaz
Eu queria ser civilizado como os animais. 

Não sou contra o progresso
Mas apelo pro bom-senso
Um erro não conserta o outro
Isso é o que eu penso.";1
20;Roberto Carlos;Mulher de 40;"Sorriso bonito, olhar de quem sabe, um pouco da vida
                                             
Conhece o amor, e quem sabe uma dor, guardada escondida
                                             
Por experiência, sabe a diferença, de amor e paixão
                                          
O que é verdadeiro caso passageiro, ou pura ilusão
                                       
É jovem bastante, mas não como antes, mas é tão bonita
                                             
Ela é uma mulher, que sabe o que quer, e no amor acredita
                                                      
Não quero saber, da sua vida, sua história, nem do seu passado
                                      
Mulher de quarenta, eu só quero ser o seu namorado
                                             
Não importa a idade, a felicidade, chega um dia que vem.
                                                    
Se ela vive feliz ou espera de novo encontrar outro alguém
                                               
Se ela se distrai uma lágrima cai ao lembrar do passado
                                                   
Seu olhar  distante vai por um instante a um tempo dourado
                                           
Retoca a maquiagem, cheia de coragem, essa mulher bonita
                                               
Que já não é menina, mas a todos fascina e a mim me conquista
                                               
Não quero saber da sua vida sua história nem do seu passado
                                                     
Mulher de quarenta, eu só quero ser o seu namorado";1
21;Roberto Carlos;Desabafo;"Porquê me arrasto aos seus pés,
Porquê me dou tanto assim,
E porque não peço em troca,
Nada de volta pra mim.
Porque é que eu fico calado,
Enquanto você me diz,
Palavras que me machucam,
Por coisas que eu nunca fiz.
Porque é que eu rolo na cama,
E você finge dormir.
Mas se você quer, eu quero,
E não consigo fingir.
Você é mesmo essa mecha,
De branco nos meus cabelos,
Você pra mim é uma ponta,
A mais dos meus pesadelos.
Mas acontece que eu,
Não sei viver sem você...
Às vezes me desabafo,
Me desespero porque,
Você é mais que um problema,
É uma loucura qualquer,
Mas sempre acabo em seus braços,
Na hora que você quer!";1
22;Roberto Carlos;O Portão;"Eu cheguei em frente ao portão,
meu cachorro me sorriu latindo
Minhas malas coloquei no chão,
eu voltei

Tudo estava igual como era antes,
quase nada se modificou
Acho que só eu mesmo mudei,
e voltei ...

Eu voltei,
agora pra ficar,
porque aqui,
aqui é o meu lugar
Eu voltei pras coisas que eu deixei,
eu voltei ...

Fui abrindo a porta devagar,
mas deixei a luz entrar primeiro
Todo meu passado iluminei,
e entrei ...

Meu retrato ainda na parede,
meio amarelado pelo tempo
Como a perguntar por onde andei
e eu falei ...

Onde andei não deu para ficar,
porque aqui,
aqui é o meu lugar

Eu voltei pras coisas que eu deixei,
eu voltei ....

Sem saber depois de tanto tempo
se havia alguém a minha espera
Passos indecisos caminhei
e parei

Quando vi que dois braços abertos,
me abraçaram como antigamente
Tanto quis dizer e não falei
e chorei ....

Eu voltei,
agora pra ficar 
porque aqui, 
aqui é o meu lugar";1
23;Roberto Carlos;Meu Menino Jesus;"Oh,meu Menino Jesus
Na noite desse Natal
São as estrelas que brilham 
no céu
Do seu amor um sinal.
Que em toda casa a alegria
Seja pra todos igual !
Brisa de flor perfumando
o jardim
Chuva de amor no quintal.

E nessa noite feliz
Noite de paz e de amor
Todos veremos no céu
A estrela do Salvador.

Te peço Menino Jesus
Ponha na mesa de alguém
O que esse alguém sempre quis
E não tem
Felicidade também
Felicidade também
Felicidade também.";1
24;Roberto Carlos;Debaixo Dos Caracóis Dos Seus Cabelos;"Um dia a areia branca seus pés irão tocar
E vai molhar seus cabelos a água azul do mar
Janelas e portas vão se abrir pra ver você chegar
E ao se sentir em casa, sorrindo vai chorar 

Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante 

As luzes e o colorido
Que você vê agora
Nas ruas por onde anda, 
na casa onde mora
Você olha tudo e nada
Lhe faz ficar contente
Você só deseja agora
Voltar pra sua gente 

Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante

Você anda pela tarde
E o seu olhar tristonho
Deixa sangrar no peito
Uma saudade, um sonho
Um dia vou ver você
Chegando num sorriso
Pisando a areia branca
Que é seu paraíso.

Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante

Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante 

Debaixo dos caracóis dos seus cabelos
Uma história pra contar de um mundo tão distante
Debaixo dos caracóis dos seus cabelos
Um soluço e a vontade de ficar mais um instante";1
25;Marília Mendonça;Ausência;"Sei bem
o que te faz bem eu sei
Mas no fundo eu já tentei não faltou coragem

É uma hora eu ia me tocar que você não vai mais voltar
Não receber mensagem também é mensagem

Sei que o pra sempre virou pó
E na cabeça deu um nó mas eu tô bem consciente
Mas amei
Amei sozinho mas por dois
Me conformei que agora e não depois
Vou ter que seguir em frente

Preocupa não
Que eu não vou bater no seu portão

Preocupa não
Que não vai ver mais o meu nome, nenhuma ligação
Preocupa não
Que eu vou tomar vergonha na cara

Preocupa não
Pra um bom entendedor
Meia ausência basta";1
